name,price,original_price,cost,category,sub_category,icon,stock,sku,supplier_id,description,tags,brand,image_url,image_urls,is_b2b,moq,tax_mode
Joos (Nutmeg) 1 Kg,9.50,0.00,0.00,food,beverages,🍎,100,130536,9001,Joos (Nutmeg) 1 Kg. Available at Adeeg Market.,"{""all_roastery"",""desserts_dates_dry_fruits"",""joos"",""nutmeg""}",,https://cdn.shopify.com/s/files/1/0421/8653/9164/products/Hayat1.jpg?v=1632810305,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/Hayat1.jpg?v=1632810305""}",false,1,none
Hayl (cardamom),50.00,0.00,0.00,food,beverages,🍎,100,130533,9001,Hayl (cardamom). Available at Adeeg Market.,"{""all_roastery"",""cardamom"",""desserts_dates_dry_fruits"",""hayl"",""heel""}",,https://cdn.shopify.com/s/files/1/0421/8653/9164/products/Hayat9.jpg?v=1632811295,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/Hayat9.jpg?v=1632811295""}",false,1,none
Flax Seeds 1Kg ( falagsiid ) 1Kg,3.00,0.00,0.00,food,beverages,🍎,100,130286,9001,Flax Seeds 1Kg ( falagsiid ) 1Kg. Available at Adeeg Market.,"{""all_roastery"",""desserts_dates_dry_fruits"",""flexseeds"",""qoondarka""}",,https://cdn.shopify.com/s/files/1/0421/8653/9164/products/Hayat12.jpg?v=1632816153,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/Hayat12.jpg?v=1632816153""}",false,1,none
Falfaliir 1 Kg,3.00,0.00,0.00,food,beverages,🍎,100,130305,9001,Falfaliir 1 Kg. Available at Adeeg Market.,"{""all_roastery"",""desserts_dates_dry_fruits"",""falfaliir""}",,https://cdn.shopify.com/s/files/1/0421/8653/9164/products/Hayat3.jpg?v=1632810325,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/Hayat3.jpg?v=1632810325""}",false,1,none
Chana Dal  Mellow 1Kg,2.00,0.00,0.00,food,beverages,🍎,100,130506,9001,Chana Dal  Mellow 1Kg. Available at Adeeg Market.,"{""all_roastery"",""chana_dal_mellow"",""desserts_dates_dry_fruits""}",,https://cdn.shopify.com/s/files/1/0421/8653/9164/products/Hayat6.jpg?v=1632810836,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/Hayat6.jpg?v=1632810836""}",false,1,none
California Walnut 1Kg,13.00,0.00,0.00,food,beverages,🍎,100,130505,9001,California Walnut 1Kg. Available at Adeeg Market.,"{""california_walnut"",""desserts_dates_dry_fruits"",""dry_fruits_&_nuts"",""loos"",""lows"",""nuts_and_dry_fruits"",""walnut""}",,https://cdn.shopify.com/s/files/1/0421/8653/9164/products/Hayat13.jpg?v=1632817846,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/Hayat13.jpg?v=1632817846""}",false,1,none
Bun 1 Kg,4.00,0.00,0.00,food,beverages,🍎,100,130534,9001,Bun 1 Kg. Available at Adeeg Market.,"{""all_roastery"",""bun"",""desserts_dates_dry_fruits""}",,https://cdn.shopify.com/s/files/1/0421/8653/9164/products/Hayat8.jpg?v=1632811281,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/Hayat8.jpg?v=1632811281""}",false,1,none
Nuna Premium Baby Diapers  (M),6.00,0.00,0.00,health,baby_health,🩺,100,02-03-01-03-07,9001,Nuna Premium Baby Diapers  (M). Available at Adeeg Market.,"{""baby_care"",""baby_products"",""baby_wipes"",""Nuna_baby_diapers""}",,https://cdn.shopify.com/s/files/1/0421/8653/9164/products/NunaDiaper3.jpg?v=1633432667,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/NunaDiaper3.jpg?v=1633432667"",""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/NunaDiaper3-1.jpg?v=1633432667""}",false,1,none
club royal men shoes-black cr sports 19139/CR SPORT  CS201,30.00,0.00,0.00,clothes,footwear,👕,100,1234110101128,9001,club royal men shoes-black cr sports 19139/CR SPORT  CS201. Available at Adeeg Market.,"{""all_men_footwear"",""club _royal_men_shoes_black_cr_sports_19139_/_CR_SPORT_CS201"",""fashion_and_footwear"",""footwear"",""kabo"",""men_footwear"",""men_shoes"",""shoes"",""textile_and_footwear""}",,https://cdn.shopify.com/s/files/1/0421/8653/9164/products/RoyalClubSportShoes_2.png?v=1618827243,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/RoyalClubSportShoes_2.png?v=1618827243"",""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/RoyalClubSportshoes.png?v=1618827243""}",false,1,none
27 - Woman Shoes - Udro,20.00,0.00,0.00,clothes,footwear,👕,100,11010238,9001,27 - Woman Shoes - Udro. Available at Adeeg Market.,"{""27_woman_shoes_udro"",""footwear"",""kabaha dumark"",""kabo"",""shoes"",""sports_shoes"",""textile"",""textile_and_footwear"",""women_footwear"",""women_sneakers""}",udro,https://cdn.shopify.com/s/files/1/0421/8653/9164/products/27-WomanShoes-Udro-_6.jpg?v=1630999446,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/27-WomanShoes-Udro-_6.jpg?v=1630999446"",""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/27-WomanShoes-Udro-_7.jpg?v=1630999446"",""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/27-WomanShoes-Udro-_3.jpg?v=1630999446""}",false,1,none
Salim Cream Cheese Triangles 120G,1.00,0.00,0.00,food,dairy,🍎,100,01-06-03-01-08,9001,Salim Cream Cheese Triangles 120G. Available at Adeeg Market.,"{""break_fast_&_milk_powder"",""breakfast_and_milk"",""cheese_cream_and_butter"",""cheese_triangle"",""chilled"",""chilled_food"",""chilled_foods"",""dairy"",""dairy_eggs"",""farmajo"",""fresh_food"",""fresh_foods"",""grocery"",""saalim jiis"",""SALIM Cheese 8 Triangles  120g""}",salim,https://cdn.shopify.com/s/files/1/0421/8653/9164/products/SAALIMCHEESETRIANGLE8PORTIONS.png?v=1615564040,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/SAALIMCHEESETRIANGLE8PORTIONS.png?v=1615564040""}",false,1,none
Blue Band Spread 250g,1.70,0.00,0.00,food,dairy,🍎,100,01-06-03-04-22,9001,Blue Band Spread 250g. Available at Adeeg Market.,"{""Band"",""Blue"",""blue_band"",""blue_band_Cream"",""Blue_Band_Spread_250g"",""breakfast"",""breakfast_and_milk"",""Buluu baan"",""Buluu baandi"",""Butter"",""Butter_&_Spreads"",""Butter_Cream"",""butter_spread"",""jam_and_marmalade"",""jams_honey_&_spreads""}",Blue Band,https://cdn.shopify.com/s/files/1/0421/8653/9164/products/BlueBandSpread250g.png?v=1616590524,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/BlueBandSpread250g.png?v=1616590524""}",false,1,none
Hilwa Chicken Cubes 10Gm,1.60,0.00,0.00,food,fresh,🍎,100,01-05-06-02-01,9001,Hilwa Chicken Cubes 10Gm. Available at Adeeg Market.,"{""chicken_cubes"",""chicken_stock"",""Digaag"",""dooro"",""food_preparation"",""hilwa_chicken_cubes"",""hilwa_chicken_stock_cubes"",""hilwa_cubes"",""hilwa_stock_cubes"",""stock_soup_mayonnaise""}",Hilwa,https://cdn.shopify.com/s/files/1/0421/8653/9164/products/HilwaChickenStock-01.jpg?v=1614758539,"{""https://cdn.shopify.com/s/files/1/0421/8653/9164/products/HilwaChickenStock-01.jpg?v=1614758539""}",false,1,none
